year,arxiv_id,title,abstract,created,updated,authors,categories,link
2025,2502.07895,Plasmonic Double-hole Bull's Eye Nano-antenna for Far-field Polarization Control,"Plasmonic polarization conversion offers significant advantages over conventional methods, including a smaller device footprint and easier integration into photonic circuits. In this work, we numerically and experimentally investigate the polarization conversion properties of a plasmonic double-hole structure surrounded by circular nanograting, i.e., a bull's eye antenna. Using a combination of polarimetric imaging via back focal plane (BFP) microscopy and the Stokes parameter analysis, we demonstrate the functionality of our structure as a miniature on chip polarization converter. Our results show that this nanostructure enables complex polarization transformations, including converting linear to circular polarization and vice versa. The polarization conversion efficiency is found to be dependent on the periodicity of the circular gratings and is particularly pronounced in the central region of the Fourier space. Moreover, the strong asymmetric scattering leads to distinctive patterns in the Stokes parameters across various incident polarization states. This work provides insights into the plasmonic manipulation of light polarization at the nanoscale, with potential applications in miniature on-chip polarization convertors, polarization-controlled emitters, and advanced sensing technologies.",2025-02-11,2025-02-13,Abbas Ghaffari; Somayeh Kashani; Jiazhen Li; Paschalis Gkoupidenis; Robert Riehn; Qing Gu,physics.optics,https://arxiv.org/abs/2502.07895
2025,2509.09692,Image detection-based high-throughput sorting of particles using traveling surface acoustic waves in microscale flows,"Large particle sorters have potential applications in sorting microplastics and large biomaterials (>50 micrometer), such as tissues, spheroids, organoids, and embryos. Though great advancements have been made in image-based sorting of cells and particles (<50 micrometer), their translation for high-throughput sorting of larger biomaterials and particles (>50 micrometer) has been more limited. An image-based detection technique is highly desirable due to richness of the data (including size, shape, color, morphology, and optical density) that can be extracted from live images of individualized biomaterials or particles. Such a detection technique is label-free and can be integrated with a contact-free actuation mechanism such as one based on traveling surface acoustic waves (TSAWs). Recent advances in using TSAWs for sorting cells and particles (<50 micrometer) have demonstrated short response times (<1 ms), high biocompatibility, and reduced energy requirements to actuate. Additionally, TSAW-based devices are miniaturized and easier to integrate with an image-based detection technique. In this work, a high-throughput image-detection based large particle microfluidic sorting technique is implemented. The technique is used to separate binary mixtures of small and large polyethylene particles (ranging between ~45-180 micrometer in size). All particles in flow were first optically interrogated for size, followed by actuations using momentum transfer from TSAW pulses, if they satisfied the size cutoff criterion. The effect of control parameters such as duration and power of TSAW actuation pulse, inlet flow rates, and sample dilution on sorting efficiency and throughput was observed. At the chosen conditions, this sorting technique can sort on average ~4.9-34.3 particles/s (perform ~2-3 actuations/s), depending on the initial sample composition and concentration.",2025-08-26,2025-09-15,Nikhil Sethia; Joseph Sushil Rao; Amit Manicka; Michael L. Etheridge; Erik B. Finger; John C. Bischof; Cari S. Dutcher,physics.app-ph; cond-mat.soft,https://arxiv.org/abs/2509.09692
2025,2508.08835,Towards all-optical spin manipulation in single molecules: a refined region for locating a dark resonance,"The on-demand manipulation of triplet states in closed-shell single molecules is still out of reach due to a lack of information about the energy of those triplet states. Yet, the access to triplet states would open up a route towards an all-optical single-molecule photonic switch/transistor and, moreover, would provide a way of performing coherent spin operations from the spin-less ground state. In this work, we take an important step towards those aims by measuring the triplet energy from the weak phosphorescence signal of perdeuterated perylene, embedded as a guest molecule in a dibenzothiophene host matrix, which well preserves the coherence properties of the perylene guest. We find that perylene's phosphorescence can be enhanced in this host matrix, when acting as an intermediary for the generation of triplet excitons. The triplet energy that we find can be used to significantly narrow down the search for the ultra-weak spin-forbidden transitions from the ground singlet to the triplet states of a single molecule.",2025-08-12,2025-08-13,Robert Smit; Boleslaw Kozankiewicz; Michel Orrit,physics.chem-ph; physics.optics,https://arxiv.org/abs/2508.08835
2025,2502.05136,Quantum Perfect Matchings,"We investigate quantum and nonsignaling generalizations of perfect matchings in graphs using nonlocal games. Specifically, we introduce nonlocal games that test for $L$-perfect matchings in bipartite graphs, perfect matchings in general graphs and hypergraphs, and fractional perfect matchings. Our definitions come from the fact that these games are classical property tests for the corresponding matching conditions. We use the existence of perfect quantum and nonsignaling strategies for these games to define quantum and nonsignaling versions of perfect matchings. Finally, we provide characterizations of when graphs exhibit these extended properties: - For nonsignaling matchings, we give a complete combinatorial characterizations. In particular, a graph has a nonsignaling perfect matching if and only if it admits a fractional perfect matching that has bounded value on triangles. \item In bipartite graphs, the nonsignaling $L$-perfect matching property is achieved exactly when the left component of the graph can be split into two disjoint subgraphs: one with a classical $L$-perfect matching and another with left-degree 2. - In the quantum setting, we show that complete graphs $K_n$ with odd $n \geq 7$ have quantum perfect matchings. We prove that a graph has a quantum perfect matching if and only if the quantum independence number of its line graph is maximal, extending a classical relationship between perfect matchings and line graph independence numbers. - For bipartite graphs, we establish that the $L$-perfect matching game does not exhibit quantum pseudotelepathy, but we characterize the quantum advantage for complete bipartite graphs $K_{n,2}$. - Additionally, we prove that deciding quantum perfect matchings in hypergraphs is undecidable and leave open the question of its complexity in graphs.",2025-02-07,2025-02-10,David Cui; Laura Mančinska; Seyed Sajjad Nezhadi; David E. Roberson,quant-ph,https://arxiv.org/abs/2502.05136
2025,2508.13147,Strain-induced Ettingshausen effect in spin-orbit coupled noncentrosymmetric metals,"Elastic deformations couple with electronic degrees of freedom in materials to generate gauge fields that lead to interesting transport properties. Recently, it has been well studied that strain-induced chiral magnetic fields in Weyl semimetals lead to interesting magnetotransport induced by the chiral anomaly (CA). Recent studies have revealed that CA is not necessarily only a Weyl-node property, but is rather a Fermi surface property, and is also present in a more general class of materials, for example, in spin orbit-coupled noncentrosymmetric metals (SOC-NCMs). The interplay of strain, CA, and charge and thermomagnetic transport in SOC-NCMs, however, remains unexplored. Here we resolve this gap. Using a tight-binding model for SOC-NCMs, we first demonstrate that strain in SOC-NCMs induces anisotropy in the spin-orbit coupling and generates an axial electric field. Then, using the quasi-classical Boltzmann transport formalism with momentum-dependent intraband and interband scattering processes, we show that strain in the presence of external magnetic field can generate temperature gradients via the Nernst-Ettingshausen effect, whose direction and behavior depends the on interplay of multiple factors: the angle between the applied strain and magnetic field, the presence of the chiral anomaly, the Lorentz force, and the strength of interband scattering. We further reveal that time-reversal symmetry breaking in the presence of an external magnetic field generates the Berry-curvature-driven anomalous Ettingshausen effect, which is qualitatively distinct from the conventional Lorentz-force-driven counterpart. In light of recent and forthcoming theoretical and experimental advances in the field of SOC-NCMs, we find our study to be particularly timely and relevant.",2025-08-29,2025-09-03,Gautham Varma K; Azaz Ahmad; Gargee Sharma,cond-mat.mes-hall,https://arxiv.org/abs/2508.13147
2025,2506.23847,Bistable quartic soliton in saturable nonlinear media,"This report presents a theoretical demonstration of a novel bistable quartic soliton (BQS) in saturable nonlinear media, specifically within a realistic dispersion-engineered ridge waveguide made of Lithium Niobate LiNbO3 . The study employs the variational method to establish the amplitude-width relationship, indicating the coexistence of stable solitons with the same duration but differing amplitudes. The impact of shock on the bistable soliton is examined through perturbative variational analysis, supported by numerical results. Additionally, we examine the interaction of BQS in different regimes and analyze the formation of the bound state. The robustness of the BQS under perturbations is further investigated via linear stability analysis.",2025-08-29,2025-09-01,Tiyas Das; Anuj Pratim Lara; Samudra Roy,physics.optics,https://arxiv.org/abs/2506.23847
2025,2501.10385,Autonomous Microscopy Experiments through Large Language Model Agents,"Large language models (LLMs) are revolutionizing self driving laboratories (SDLs) for materials research, promising unprecedented acceleration of scientific discovery. However, current SDL implementations rely on rigid protocols that fail to capture the adaptability and intuition of expert scientists in dynamic experimental settings. We introduce Artificially Intelligent Lab Assistant (AILA), a framework automating atomic force microscopy through LLM driven agents. Further, we develop AFMBench a comprehensive evaluation suite challenging AI agents across the complete scientific workflow from experimental design to results analysis. We find that state of the art models struggle with basic tasks and coordination scenarios. Notably, Claude 3.5 sonnet performs unexpectedly poorly despite excelling in materials domain question answering (QA) benchmarks, revealing that domain specific QA proficiency does not necessarily translate to effective agentic capabilities. Additionally, we observe that LLMs can deviate from instructions, raising safety alignment concerns for SDL applications. Our ablations reveal that multi agent frameworks outperform single-agent architectures. We also observe significant prompt fragility, where slight modifications in prompt structure cause substantial performance variations in capable models like GPT 4o. Finally, we evaluate AILA's effectiveness in increasingly advanced experiments AFM calibration, feature detection, mechanical property measurement, graphene layer counting, and indenter detection. Our findings underscore the necessity for rigorous benchmarking protocols and prompt engineering strategies before deploying AI laboratory assistants in scientific research environments.",2025-07-07,2025-07-08,Indrajeet Mandal; Jitendra Soni; Mohd Zaki; Morten M. Smedskjaer; Katrin Wondraczek; Lothar Wondraczek; Nitya Nand Gosvami; N. M. Anoop Krishnan,cs.CY; cond-mat.mtrl-sci; cs.AI; physics.ins-det,https://arxiv.org/abs/2501.10385
2025,2509.13752,Shape optimization for trailing-edge noise reduction using large-eddy simulation and ensemble-based method,"In this work, the trailing-edge shape of an airfoil is optimized to reduce the acoustic noise based on large-eddy simulation (LES). It is achieved by the ensemble Kalman method, which can enhance the optimization efficiency by using the gradient of cost function approximated with sample covariances. Moreover, the update scheme is reformulated to impose smoothness regularization and enable simultaneous reduction in the trailing edge noise and the drag-to-lift ratio. The trailing edge is optimized with a reduced bevel angle based on the ensemble Kalman method. The flow field near the optimal trailing edge shows that the flow separation and vortex shedding are suppressed compared to the baseline shape, indicating a significant decrease in the drag-to-lift ratio and noise generation. Also, the spectral proper orthogonal decomposition method is used to analyze the flow structure around the trailing edge, identifying that the optimal shape achieves acoustic noise reduction by disrupting large-scale flow structures. Further, the spectrum of Lighthill stress reveals that the optimal trailing edge suppresses the high-frequency noise through the nonlinear interaction of reduced low-frequency velocity fluctuations.",2025-09-17,2025-09-18,Qingyong Luo; Xin-Lei Zhang; Guowei He,physics.flu-dyn,https://arxiv.org/abs/2509.13752
2025,2509.18448,"Stability and optical quality of ""windmill""-formed 8CB liquid crystal films for replenishable plasma mirrors","Liquid crystal (LC) film plasma mirrors (PMs) based on 4-octyl-4'-cyanobiphenyl (8CB) are an enabling technology for reflecting high-fluence laser pulses. These freestanding LC films can achieve high optical quality and are well-suited for rep-rated applications, as motorized devices continuously replenish films over an aperture following each destructive laser shot. However, a systematic characterization of film quality as a function of seminal operating conditions had not yet been performed for the LC ""windmill"" version of the device, which aims to match the repetition rate of an existing ""spinning disk"" (SDI) version and the angular stability of the ""linear slider"" (LSTI) version. We determined the 8CB film quality using low-power wavefront measurements, and studied the film-to-film wavefront stability and formation reliability. The film-formation reliability of 8CB LC films demonstrated >97% formation success at 2.7 mm/s film-forming speeds, but decreased to 45% at 10.8 mm/s. These reliability numbers will inform future designs to reach Hz-level repetition rates and beyond. Depending on area-of-interest within the 10 mm diameter film, the added wavefront root-mean-squared (RMS) variation was as small as 12 nm for a 2 mm diameter region, and <50 nm for a 3 mm diameter region. Within the optimal 21-22 degrees C operating regime, pointing fluctuations remained at or below 0.5 mrad. With a maximum effective film formation frequency of approximately 0.25 Hz, these results establish windmill-formed 8CB films as promising candidates to pursue next-iteration improvements towards rep-rated plasma-mirror operation.",2026-06-16,2026-06-17,A. Vazquez; A. Jewell; M. Cole; A. Abdi; T. K. Le; A. McIlvenny; N. Czapla; L. Russell; A. Picksley; A. J. Gonsalves; K. Nakamura; D. W. Schumacher; Z. Eisentraut; F. Mazzini; C. B. Schroeder; J. van Tilborg; J. Osterhoff; E. Esarey; L. Obst-Huebl,physics.optics; physics.plasm-ph,https://arxiv.org/abs/2509.18448
2025,2506.20645,Reflection-less filter for superconducting quantum circuits,"Protecting superconducting quantum circuits from non-ideal return loss, including out-of-band circulator behavior and enhancing the performance of broadband quantum-limited amplifiers can be accomplished using a superconducting version of a special class of microwave filters known as reflection-less filters. These filters can simultaneously permit low pass band loss to preserve quantum efficiency and broad band reflection-less characteristics in the stop and pass bands. The filter also suppresses thermal photons emitted in its pass band from the termination resistors by the nature of the dual network topology. This work will review the application, theory, design, and modeling of a superconducting reflection-less filter, followed by fabrication details and the presentation of cryogenic performance measurements of a monolithic device. The filter was fabricated using Al on Si, incorporating NiCr resistors, which allows for simple integration with other superconducting quantum devices. The filter with an area of 0.6 $\mathrm{\mathbf{mm^2}}$ achieves insertion loss below 1 dB, including its connectorized package over a 80\% fractional bandwidth centered at 8 GHz, and 10 dB packaged return loss from DC to above 14.5 GHz.",2025-06-25,2025-06-26,Jessica Kedziora; Eric Q. Bui; Alec Yen; Andres E. Lombo; Kaidong Peng; Terence J. Weir; Kevin P. O'Brien,quant-ph,https://arxiv.org/abs/2506.20645
